/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19193	Jakaya Mrisho Kikwete	is	the 4th and current President of the United Republic of Tanzania	0	3	3	4	4	15	0.9999999999665454	Jakaya Mrisho Kikwete is the 4th and current President of the United Republic of Tanzania .	NNP NNP NNP VBZ DT JJ CC JJ NNP IN DT NNP NNP IN NNP .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	jakaya mrisho kikwete	be	the 4th and current president of the united republic of tanzania
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19194	Kikwete	was born in	Msoga	0	1	1	4	4	5	0.9963056293131556	Kikwete was born in Msoga , Bagamoyo District , Tanganyika in present day Tanzania .	NNP VBD VBN IN NNP , NNP NNP , NNP IN JJ NN NNP .	B-NP B-VP I-VP B-PP B-NP O B-NP I-NP O B-NP B-PP B-NP I-NP I-NP O	kikwete	bear in	msoga
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19195	Kikwete	was also the Chairperson of	the African Union	0	1	1	6	6	9	0.943908204426886	Kikwete was also the Chairperson of the African Union from 31 January 2008 to 2 February 2009 .	NNP VBD RB DT NNP IN DT NNP NNP IN CD NNP CD TO CD NNP CD .	B-NP B-VP B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	kikwete	be chairperson of	the african union
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19196	he	opted for	a low-paying job	9	10	10	12	12	15	0.2814229640528262	Graduating with a degree in economics in 1975 , he opted for a low-paying job as an executive functionary/officer of the ruling Party .	VBG IN DT NN IN NNS IN CD , PRP VBD IN DT JJ NN IN DT JJ NN IN DT NN NNP .	B-VP B-PP B-NP I-NP B-PP B-NP B-PP B-NP O B-NP B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP B-NP O	he	opt for	a low-paying job
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19197	This	gave	him	0	1	1	2	2	3	0.21278601148409004	This gave him the opportunity to work at the grassroots in rural regions and districts of Tanzania .	DT VBD PRP DT NN TO VB IN DT NNS IN JJ NNS CC NNS IN NNP .	B-NP B-VP B-NP B-NP I-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	this	give	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19198	Kikwete	sharpened	his leadership	0	1	1	2	2	4	0.9108618974445483	Kikwete sharpened his leadership acumen in the military .	NNP VBD PRP$ NN RB IN DT JJ .	B-NP B-VP B-NP I-NP B-ADVP B-PP B-NP I-NP O	kikwete	sharpen	his leadership
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19199	He	first had basic military training at	Ruvu National Service Camp	0	1	1	7	7	11	0.8627455438323437	He first had basic military training at Ruvu National Service Camp and later underwent a basic officers course at the famous Tanzania Military Academy at Monduli , Arusha , Tanzania 's top military training institution .	PRP RB VBD JJ JJ NN IN NNP NNP NNP NNP CC RB IN DT JJ NNS NN IN DT JJ NNP NNP NNP IN NNP , NNP , NNP POS JJ JJ NN NN .	B-NP B-ADVP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP O B-NP I-NP I-NP I-NP I-NP I-NP O	he	have training at	ruvu national service camp
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19200	he	was commissioned as	a lieutenant	7	8	8	11	11	13	0.4800276106953	On successful completion of the course , he was commissioned as a lieutenant in 1976 .	IN JJ NN IN DT NN , PRP VBD VBN IN DT NN IN CD .	B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP O	he	commission as	a lieutenant
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19201	He	also undertook	the Company Commander 's Course	0	1	1	3	3	8	0.624153827226402	He also undertook the Company Commander 's Course in 1983 at the same academy .	PRP RB VBD DT NNP NNP POS NNP IN CD IN DT JJ NN .	B-NP B-ADVP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O	he	undertake	the company commander 's course
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19202	he	rose to	the rank of Lieutenant-Colonel	5	6	6	8	8	12	0.6167640310739511	In his military career , he rose to the rank of Lieutenant-Colonel .	IN PRP$ JJ NN , PRP VBD TO DT NN IN NNP .	B-PP B-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	he	rise to	the rank of lieutenant-colonel
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakaya Kikwete.txt	19203	Kikwete	was	Chief Political Instructor	5	6	6	7	7	10	0.9248599050644926	From 1984 to 1986 , Kikwete was Chief Political Instructor and Political Commissar at the Military Academy .	IN CD TO CD , NNP VBD NNP NNP NNP CC NNP NNP IN DT NNP NNP .	B-PP B-NP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP O	kikwete	be	chief political instructor
