/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6870	Augustin Thierry	was	a French historian	0	2	2	3	3	6	0.9999999999144422	Augustin Thierry was a French historian .	NNP NNP VBD DT JJ NN .	B-NP I-NP B-VP B-NP I-NP I-NP O	augustin thierry	be	a french historian
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6871	He	was born in	Blois	0	1	1	4	4	5	0.9580809391366125	He was born in Blois , Loir-et-Cher , the elder brother of Amédée Simon Dominique Thierry .	PRP VBD VBN IN NNP , NNP , DT JJR NN IN NNP NNP NNP NNP .	B-NP B-VP I-VP B-PP B-NP O B-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	bear in	blois
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6872	He	had no advantages of	birth or fortune	0	1	1	5	5	8	0.4746528222730283	He had no advantages of birth or fortune , but was distinguished at the Blois Grammar School , and entered the École Normale Supérieure in 1811 .	PRP VBD DT NNS IN NN CC NN , CC VBD VBN IN DT NNP NNP NNP , CC VBD DT JJ NNP NNP IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-VP I-VP B-PP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	he	have advantage of	birth or fortune
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6872	no advantages of birth or fortune	was distinguished at	the Blois Grammar School	2	8	10	13	13	17	0.9747737655396037	He had no advantages of birth or fortune , but was distinguished at the Blois Grammar School , and entered the École Normale Supérieure in 1811 .	PRP VBD DT NNS IN NN CC NN , CC VBD VBN IN DT NNP NNP NNP , CC VBD DT JJ NNP NNP IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-VP I-VP B-PP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	no advantages of birth or fortune	distinguish at	the blois grammar school
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6872	no advantages of birth or fortune	entered	the École Normale Supérieure	2	8	19	20	20	24	0.8796182226549096	He had no advantages of birth or fortune , but was distinguished at the Blois Grammar School , and entered the École Normale Supérieure in 1811 .	PRP VBD DT NNS IN NN CC NN , CC VBD VBN IN DT NNP NNP NNP , CC VBD DT JJ NNP NNP IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-VP I-VP B-PP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	no advantages of birth or fortune	enter	the École normale supérieure
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6873	he	was sent as	a professor	2	3	3	6	6	8	0.03982658833566462	In 1813 he was sent as a professor to Compiègne , but stayed there a very short time .	IN CD PRP VBD VBN IN DT NN TO NNP , CC VBD RB DT RB JJ NN .	B-PP B-NP B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP O O B-VP O B-NP I-NP I-NP I-NP O	he	send as	a professor
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6873	Compiègne	stayed there	a very short time	9	10	12	14	14	18	0.8478039102241587	In 1813 he was sent as a professor to Compiègne , but stayed there a very short time .	IN CD PRP VBD VBN IN DT NN TO NNP , CC VBD RB DT RB JJ NN .	B-PP B-NP B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP O O B-VP O B-NP I-NP I-NP I-NP O	compiègne	stay	a very short time
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6874	Thierry	enthusiastically embraced the ideals of	the French Revolution	0	1	1	6	6	9	0.9307162601102236	Thierry enthusiastically embraced the ideals of the French Revolution and Saint Simon 's vision of an ideal future society .	NN RB VBD DT NNS IN DT NNP NNP CC NNP NNP POS NN IN DT JJ JJ NN .	B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	thierry	embrace ideal of	the french revolution
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6875	He	became	Saint-Simon 's secretary	0	1	1	2	2	5	0.6590306934813647	He became Saint-Simon 's secretary and "adopted son " ; but while most of Saint-Simon 's followers applied his theories to present-day matters of political economy , Thierry turned to history instead .	PRP VBD NNP POS NN CC VBD NN '' : CC IN JJS IN NNP POS NNS VBD PRP$ NNS TO JJ NNS IN JJ NN , NNP VBD TO NN RB .	B-NP B-VP B-NP I-NP I-NP O B-VP B-NP O O O B-ADVP I-ADVP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-ADVP O	he	become	saint-simon 's secretary
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6875	He	"adopted	son	0	1	6	7	7	8	0.4672629348711191	He became Saint-Simon 's secretary and "adopted son " ; but while most of Saint-Simon 's followers applied his theories to present-day matters of political economy , Thierry turned to history instead .	PRP VBD NNP POS NN CC VBD NN '' : CC IN JJS IN NNP POS NNS VBD PRP$ NNS TO JJ NNS IN JJ NN , NNP VBD TO NN RB .	B-NP B-VP B-NP I-NP I-NP O B-VP B-NP O O O B-ADVP I-ADVP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-ADVP O	he	"adopted	son
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Nicolas Augustin Thierry.txt	6875	Saint-Simon 's followers	applied his theories to	present-day matters of political economy	14	17	17	21	21	26	0.9590520872414693	He became Saint-Simon 's secretary and "adopted son " ; but while most of Saint-Simon 's followers applied his theories to present-day matters of political economy , Thierry turned to history instead .	PRP VBD NNP POS NN CC VBD NN '' : CC IN JJS IN NNP POS NNS VBD PRP$ NNS TO JJ NNS IN JJ NN , NNP VBD TO NN RB .	B-NP B-VP B-NP I-NP I-NP O B-VP B-NP O O O B-ADVP I-ADVP B-PP B-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-ADVP O	saint-simon 's followers	apply theory to	present-day matters of political economy
