/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21436	Jakob Balde	was born at	Ensisheim	0	2	7	10	10	11	0.9851395303038705	Jakob Balde , a German Latinist , was born at Ensisheim in Alsace .	NNP NNP , DT JJ JJ , VBD VBN IN NNP IN NNP .	B-NP I-NP O B-NP I-NP I-NP O B-VP I-VP B-PP B-NP B-PP B-NP O	jakob balde	bear at	ensisheim
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21437	he	fled to	Ingolstadt	11	12	12	14	14	15	0.5941564210849375	Driven from Alsace by the marauding bands of Count Mansfeld , he fled to Ingolstadt where he began to study law .	VBN IN NNP IN DT NN NNS IN NNP NNP , PRP VBD TO NNP WRB PRP VBD TO VB NN .	B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-ADVP B-NP B-VP I-VP I-VP B-NP O	he	flee to	ingolstadt
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21437	he	began to study	law	16	17	17	20	20	21	0.03775618755043151	Driven from Alsace by the marauding bands of Count Mansfeld , he fled to Ingolstadt where he began to study law .	VBN IN NNP IN DT NN NNS IN NNP NNP , PRP VBD TO NNP WRB PRP VBD TO VB NN .	B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-ADVP B-NP B-VP I-VP I-VP B-NP O	he	begin to study	law
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21438	A love disappointment	turned his thoughts to	the church	0	3	6	10	10	12	0.9526887934420707	A love disappointment , however , turned his thoughts to the church , and in 1624 he entered the Society of Jesus .	DT NN NN , RB , VBD PRP$ NNS TO DT NN , CC IN CD PRP VBD DT NNP IN NNP .	B-NP I-NP I-NP O B-ADVP O B-VP B-NP I-NP B-PP B-NP I-NP O O B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP O	a love disappointment	turn thought to	the church
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21438	he	entered	the Society of Jesus	16	17	17	18	18	22	0.24261536162656885	A love disappointment , however , turned his thoughts to the church , and in 1624 he entered the Society of Jesus .	DT NN NN , RB , VBD PRP$ NNS TO DT NN , CC IN CD PRP VBD DT NNP IN NNP .	B-NP I-NP I-NP O B-ADVP O B-VP B-NP I-NP B-PP B-NP I-NP O O B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP O	he	enter	the society of jesus
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21439	he	became in	1628 professor of rhetoric	7	8	8	10	10	14	0.13853588798974797	Continuing his study of the humanities , he became in 1628 professor of rhetoric at Innsbruck , and in 1635 at Ingolstadt , whither he had been transferred by his superiors in order to study theology .	VBG PRP$ NN IN DT NNS , PRP VBD IN CD NN IN NN IN NNP , CC IN CD IN NNP , IN PRP VBD VBN VBN IN PRP$ NNS IN NN TO VB NN .	B-VP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP O O B-PP B-NP B-PP B-NP O B-SBAR B-NP B-VP I-VP I-VP B-PP B-NP I-NP B-SBAR O B-VP I-VP B-NP O	he	become in	# professor of rhetoric
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21439	he	had been transferred by	his superiors	24	25	25	29	29	31	0.6466624450312692	Continuing his study of the humanities , he became in 1628 professor of rhetoric at Innsbruck , and in 1635 at Ingolstadt , whither he had been transferred by his superiors in order to study theology .	VBG PRP$ NN IN DT NNS , PRP VBD IN CD NN IN NN IN NNP , CC IN CD IN NNP , IN PRP VBD VBN VBN IN PRP$ NNS IN NN TO VB NN .	B-VP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP O O B-PP B-NP B-PP B-NP O B-SBAR B-NP B-VP I-VP I-VP B-PP B-NP I-NP B-SBAR O B-VP I-VP B-NP O	he	transfer by	his superiors
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21440	he	was ordained	a priest	2	3	3	5	5	7	0.1088627308864374	In 1633 he was ordained a priest .	IN CD PRP VBD VBN DT NN .	B-PP B-NP B-NP B-VP I-VP B-NP I-NP O	he	ordain	a priest
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21441	His lectures and poems	had now made	him	0	4	4	7	7	8	0.42571559618110283	His lectures and poems had now made him famous , and he was summoned to Munich where , in 1638 , he became court chaplain to the elector Maximilian I.	PRP$ NNS CC NNS VBD RB VBN PRP JJ , CC PRP VBD VBN TO NNP WRB , IN CD , PRP VBD NN NN TO DT NN NNP NN	B-NP I-NP I-NP I-NP B-VP I-VP I-VP B-NP B-ADJP O O B-NP B-VP I-VP B-PP B-NP B-ADVP O B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-NP I-NP	his lectures and poems	make	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21441	he	was summoned to	Munich	11	12	12	15	15	16	0.818045383630772	His lectures and poems had now made him famous , and he was summoned to Munich where , in 1638 , he became court chaplain to the elector Maximilian I.	PRP$ NNS CC NNS VBD RB VBN PRP JJ , CC PRP VBD VBN TO NNP WRB , IN CD , PRP VBD NN NN TO DT NN NNP NN	B-NP I-NP I-NP I-NP B-VP I-VP I-VP B-NP B-ADJP O O B-NP B-VP I-VP B-PP B-NP B-ADVP O B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-NP I-NP	he	summon to	munich
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Balde.txt	21441	he	became	court chaplain	21	22	22	23	23	25	0.022547296254994516	His lectures and poems had now made him famous , and he was summoned to Munich where , in 1638 , he became court chaplain to the elector Maximilian I.	PRP$ NNS CC NNS VBD RB VBN PRP JJ , CC PRP VBD VBN TO NNP WRB , IN CD , PRP VBD NN NN TO DT NN NNP NN	B-NP I-NP I-NP I-NP B-VP I-VP I-VP B-NP B-ADJP O O B-NP B-VP I-VP B-PP B-NP B-ADVP O B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-NP I-NP	he	become	court chaplain
