/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4282	Jacques de la Palice	was	a French nobleman	0	4	4	5	5	8	0.874111709033325	Jacques de la Palice was a French nobleman and military officer .	NNP NNP NNP NNP VBD DT JJ NN CC JJ NN .	B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O B-NP I-NP O	jacques de la palice	be	a french nobleman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4283	His full name and titles	are	Jacques II	0	5	5	6	6	8	0.8591362728105365	His full name and titles are Jacques II de Chabannes , Lord of La Palice , of Pacy , of Chauverothe , of Bort-le-Comte and of Héron .	PRP$ JJ NN CC NNS VBP NNP NNP IN NNPS , NNP IN NNP NNP , IN NNP , IN NNP , IN NNP CC IN NNP .	B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP O B-NP I-NP I-NP I-NP O B-PP B-NP O B-PP B-NP O B-PP B-NP B-PP B-PP B-NP O	his full name and titles	be	jacques ii
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4284	he	received the title of	Grand Master of France	3	4	4	8	8	12	0.5619286737158415	In 1511 , he received the title of Grand Master of France .	IN CD , PRP VBD DT NN IN NNP NNP IN NNP .	B-PP B-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	receive title of	grand master of france
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4285	he	fought against	Italian armies	7	8	8	10	10	12	0.36216312658161576	As a Marshal under Francis I , he fought against Italian armies , and died during the battle of Pavia .	IN DT NNP IN NNP PRP , PRP VBD IN JJ NNS , CC VBD IN DT NN IN NNP .	B-PP B-NP I-NP B-PP B-NP B-NP O B-NP B-VP B-PP B-NP I-NP O O B-VP B-PP B-NP I-NP I-NP I-NP O	he	fight against	italian armies
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4285	he	died during	the battle of Pavia	7	8	14	16	16	20	0.5351177088526822	As a Marshal under Francis I , he fought against Italian armies , and died during the battle of Pavia .	IN DT NNP IN NNP PRP , PRP VBD IN JJ NNS , CC VBD IN DT NN IN NNP .	B-PP B-NP I-NP B-PP B-NP B-NP O B-NP B-VP B-PP B-NP I-NP O O B-VP B-PP B-NP I-NP I-NP I-NP O	he	die during	the battle of pavia
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4286	He	was born at	Lapalisse	0	1	1	4	4	5	0.9212011629528429	He was born at Lapalisse , Auvergne .	PRP VBD VBN IN NNP , NNP .	B-NP B-VP I-VP B-PP B-NP O B-NP O	he	bear at	lapalisse
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4287	15 de la Palice	entered the service of	King Charles VIII of France	1	5	5	9	9	14	0.9457349835090321	At 15 de la Palice entered the service of King Charles VIII of France , of his same age .	IN CD FW FW NNP VBD DT NN IN NNP NNP NNP IN NNP , IN PRP$ JJ NN .	B-PP B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP O	# de la palice	enter service of	king charles viii of france
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4289	he	married	Jeanne de Montbéron	3	4	4	5	5	8	0.5136583312344386	Four years later he married Jeanne de Montbéron , daughter of chamberlain Eustache de Montbéron .	CD NNS RB PRP VBD NNP NNP NNP , NN IN NN NNP NNP NNP .	B-NP I-NP B-ADVP B-NP B-VP B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O	he	marry	jeanne de montbéron
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4290	he	followed	the king	2	3	3	4	4	6	0.0921242032330337	In 1494 he followed the king in war for the Kingdom of Naples , taking part in the latter city 's capture in 1495 , as well as in the battle of Fornovo against the Italian League , which allowed the French army to retreat in their homeland .	IN CD PRP VBD DT NN IN NN IN DT NNP IN NNP , VBG NN IN DT JJ NN POS NN IN CD , RB RB IN IN DT NN IN NNP IN DT JJ NNP , WDT VBD DT JJ NN TO VB IN PRP$ NN .	B-PP B-NP B-NP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-CONJP I-CONJP I-CONJP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-VP I-VP B-PP B-NP I-NP O	he	follow	the king
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4290	the Italian League	allowed	the French army	34	37	39	40	40	43	0.13714055889338156	In 1494 he followed the king in war for the Kingdom of Naples , taking part in the latter city 's capture in 1495 , as well as in the battle of Fornovo against the Italian League , which allowed the French army to retreat in their homeland .	IN CD PRP VBD DT NN IN NN IN DT NNP IN NNP , VBG NN IN DT JJ NN POS NN IN CD , RB RB IN IN DT NN IN NNP IN DT JJ NNP , WDT VBD DT JJ NN TO VB IN PRP$ NN .	B-PP B-NP B-NP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-CONJP I-CONJP I-CONJP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-VP I-VP B-PP B-NP I-NP O	the italian league	allow	the french army
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de la Palice.txt	4291	la Palice	accompanied	the new King	5	7	7	8	8	11	0.9525032874453302	After Charles ' death , la Palice accompanied the new King , Louis XII , in the campaign for Milan , which the French captured in 1499 .	IN NNP POS NN , DT NNP VBD DT JJ NNP , NNP NNP , IN DT NN IN NNP , WDT DT JJ VBN IN CD .	B-PP B-NP I-NP I-NP O B-NP I-NP B-VP B-NP I-NP I-NP O B-NP I-NP O B-PP B-NP I-NP B-PP B-NP O B-NP B-NP I-NP B-VP B-PP B-NP O	la palice	accompany	the new king
