/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4252	Jacques Davy Duperron	was	a French cardinal	0	3	3	4	4	7	0.9999999999144422	Jacques Davy Duperron was a French cardinal .	NNP NNP NNP VBD DT JJ NN .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jacques davy duperron	be	a french cardinal
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4253	He	was born in	Saint-Lô	0	1	1	4	4	5	0.8732513906025899	He was born in Saint-Lô , in Normandy .	PRP VBD VBN IN NNP , IN NNP .	B-NP B-VP I-VP B-PP B-NP O B-PP B-NP O	he	bear in	saint-lô
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4254	His father	was	a physician	0	2	2	3	3	5	0.8761053252757875	His father was a physician , who on embracing the doctrines of the Reformation became a Protestant minister , and to escape persecution settled at Bern , in Switzerland .	PRP$ NN VBD DT NN , WP IN VBG DT NNS IN DT NN VBD DT JJ NN , CC TO VB NN VBN IN NNP , IN NNP .	B-NP I-NP B-VP B-NP I-NP O B-NP B-PP B-VP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O O B-VP I-VP B-NP B-VP B-PP B-NP O B-PP B-NP O	his father	be	a physician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4254	the doctrines of the Reformation	became	a Protestant minister	9	14	14	15	15	18	0.7034078034158018	His father was a physician , who on embracing the doctrines of the Reformation became a Protestant minister , and to escape persecution settled at Bern , in Switzerland .	PRP$ NN VBD DT NN , WP IN VBG DT NNS IN DT NN VBD DT JJ NN , CC TO VB NN VBN IN NNP , IN NNP .	B-NP I-NP B-VP B-NP I-NP O B-NP B-PP B-VP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O O B-VP I-VP B-NP B-VP B-PP B-NP O B-PP B-NP O	the doctrines of the reformation	become	a protestant minister
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4255	Jacques	received	his education	1	2	2	3	3	5	0.839787242942516	Here Jacques received his education , being taught Latin and mathematics by his father , and learning Greek and Hebrew and the philosophy then in vogue .	RB NNP VBD PRP$ NN , VBG VBN NNP CC NNS IN PRP$ NN , CC VBG NNP CC NNP CC DT NN RB IN NN .	B-ADVP B-NP B-VP B-NP I-NP O B-VP I-VP B-NP I-NP I-NP B-PP B-NP I-NP O O B-VP B-NP I-NP I-NP O B-NP I-NP B-ADVP B-PP B-NP O	jacques	receive	his education
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4256	he	was presented to	the king	3	4	4	7	7	9	0.32514616388766043	Returning to Normandy he was presented to the king by Jacques of Matignon ; after he had abjured Protestantism , being again presented by Philippe Desportes , abbot of Tiron , as a young man without equal for knowledge and talent , he was appointed reader to the king .	VBG TO NNP PRP VBD VBN TO DT NN IN NNP IN NNP : IN PRP VBD VBN NNP , VBG RB VBN IN NNP NNS , NN IN NNP , IN DT JJ NN IN JJ IN NN CC NN , PRP VBD VBN NN TO DT NN .	B-VP B-PP B-NP B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O B-SBAR B-NP B-VP I-VP B-NP O B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O	he	present to	the king
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4256	he	had abjured	Protestantism	15	16	16	18	18	19	0.662535098901057	Returning to Normandy he was presented to the king by Jacques of Matignon ; after he had abjured Protestantism , being again presented by Philippe Desportes , abbot of Tiron , as a young man without equal for knowledge and talent , he was appointed reader to the king .	VBG TO NNP PRP VBD VBN TO DT NN IN NNP IN NNP : IN PRP VBD VBN NNP , VBG RB VBN IN NNP NNS , NN IN NNP , IN DT JJ NN IN JJ IN NN CC NN , PRP VBD VBN NN TO DT NN .	B-VP B-PP B-NP B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O B-SBAR B-NP B-VP I-VP B-NP O B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O	he	abjure	protestantism
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4256	he	was appointed	reader	42	43	43	45	45	46	0.028082209764999602	Returning to Normandy he was presented to the king by Jacques of Matignon ; after he had abjured Protestantism , being again presented by Philippe Desportes , abbot of Tiron , as a young man without equal for knowledge and talent , he was appointed reader to the king .	VBG TO NNP PRP VBD VBN TO DT NN IN NNP IN NNP : IN PRP VBD VBN NNP , VBG RB VBN IN NNP NNS , NN IN NNP , IN DT JJ NN IN JJ IN NN CC NN , PRP VBD VBN NN TO DT NN .	B-VP B-PP B-NP B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O B-SBAR B-NP B-VP I-VP B-NP O B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP O	he	appoint	reader
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4257	the poet	induced	him	32	34	36	37	37	38	0.030303870774078007	He was commanded to preach before the king at the convent of Vincennes , when the success of his sermon on the love of God , and of a funeral oration on the poet Ronsard , induced him to take orders .	PRP VBD VBN TO VB IN DT NN IN DT NN IN NNP , WRB DT NN IN PRP$ NN IN DT NN IN NNP , CC IN DT NN NN IN DT NN NNP , VBD PRP TO VB NNS .	B-NP B-VP I-VP I-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O O B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-NP O B-VP B-NP B-VP I-VP B-NP O	the poet	induce	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4259	Duperron	became a faithful servant of	Henry IV	27	28	28	33	33	35	0.949743461022336	On the death of Henry III , after having supported for some time the cardinal de Bourbon , the head of the league against the king , Duperron became a faithful servant of Henry IV , and in 1591 was created by him bishop of Évreux .	IN DT NN IN NNP NNP , IN VBG VBN IN DT NN DT JJ NNP NNP , DT NN IN DT NN IN DT NN , NNP VBD DT JJ NN IN NNP NNP , CC IN CD VBD VBN IN PRP NN IN NNP .	B-PP B-NP I-NP I-NP I-NP I-NP O B-PP B-VP I-VP B-PP B-NP I-NP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP B-VP I-VP B-PP B-NP B-NP I-NP I-NP O	duperron	become servant of	henry iv
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Davy Duperron.txt	4259	1591	was created by	him	38	39	39	42	42	43	0.35119795212399463	On the death of Henry III , after having supported for some time the cardinal de Bourbon , the head of the league against the king , Duperron became a faithful servant of Henry IV , and in 1591 was created by him bishop of Évreux .	IN DT NN IN NNP NNP , IN VBG VBN IN DT NN DT JJ NNP NNP , DT NN IN DT NN IN DT NN , NNP VBD DT JJ NN IN NNP NNP , CC IN CD VBD VBN IN PRP NN IN NNP .	B-PP B-NP I-NP I-NP I-NP I-NP O B-PP B-VP I-VP B-PP B-NP I-NP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP B-VP I-VP B-PP B-NP B-NP I-NP I-NP O	#	create by	him
