/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8736	Jacques-Charles Dupont de l'Eure	was	a French lawyer and statesman	0	4	4	5	5	10	0.9999999999144422	Jacques-Charles Dupont de l'Eure was a French lawyer and statesman .	NNP NNP NNP NN VBD DT JJ NN CC NN .	B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP O	jacques-charles dupont de l'eure	be	a french lawyer and statesman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8737	He	is best known as	the first head of state of the Second Republic	0	1	1	5	5	14	0.8806113318211178	He is best known as the first head of state of the Second Republic , after the collapse of the July Monarchy .	PRP VBZ RB VBN IN DT JJ NN IN NN IN DT NNP NNP , IN DT NN IN DT NNP NNP .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	he	know as	the first head of state of the second republic
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8738	he	was a lawyer at	the parlement of Normandy	7	8	8	12	12	16	0.7723346855056269	Born in Neubourg , in Normandy , he was a lawyer at the parlement of Normandy when the French Revolution began .	VBN IN NNP , IN NNP , PRP VBD DT NN IN DT NN IN NNP WRB DT NNP NNP VBD .	B-VP B-PP B-NP O B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-ADVP B-NP I-NP I-NP B-VP O	he	be lawyer at	the parlement of normandy
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8739	he	filled	successive judicial offices	9	10	10	11	11	14	0.19915411658080193	During the First Republic and the First Empire , he filled successive judicial offices at Louviers , Rouen and Évreux .	IN DT NNP NNP CC DT NNP NNP , PRP VBD JJ JJ NNS IN NNP , NNP CC NNP .	B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	he	fill	successive judicial offices
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8740	He	had adopted	revolutionary principles	0	1	1	3	3	5	0.545649007796526	He had adopted revolutionary principles , and in 1798 began his political life as a member of the French Directory 's Council of Five Hundred .	PRP VBD VBN JJ NNS , CC IN CD VBD PRP$ JJ NN IN DT NN IN DT NNP NNP POS NNP IN CD NNP .	B-NP B-VP I-VP B-NP I-NP O O B-PP B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	adopt	revolutionary principles
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8740	1798	began his political life as	a member of the French Directory 's Council of Five Hundred	8	9	9	14	14	25	0.9571575584709002	He had adopted revolutionary principles , and in 1798 began his political life as a member of the French Directory 's Council of Five Hundred .	PRP VBD VBN JJ NNS , CC IN CD VBD PRP$ JJ NN IN DT NN IN DT NNP NNP POS NNP IN CD NNP .	B-NP B-VP I-VP B-NP I-NP O O B-PP B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	#	begin life as	a member of the french directory 's council of # hundred
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8741	he	became a member of	the Corps législatif	2	3	3	7	7	10	0.28627876818949377	In 1813 he became a member of the Corps législatif and , during the Hundred Days , was vice-president of the chamber of deputies .	IN CD PRP VBD DT NN IN DT NNP NN CC , IN DT NNP NNP , VBD NN IN DT NN IN NNS .	B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP O	he	become member of	the corps législatif
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8741	a member of the Corps législatif	was vice-president of	the chamber of deputies	4	10	17	20	20	24	0.7069499383575822	In 1813 he became a member of the Corps législatif and , during the Hundred Days , was vice-president of the chamber of deputies .	IN CD PRP VBD DT NN IN DT NNP NN CC , IN DT NNP NNP , VBD NN IN DT NN IN NNS .	B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O O B-PP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP O	a member of the corps législatif	be vice-president of	the chamber of deputies
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8742	the Seventh Coalition armies	entered	Paris	1	5	5	6	6	7	0.8628437849734554	When the Seventh Coalition armies entered Paris , he drew up the declaration asserting the necessity of maintaining the principles of government that had been established at the Revolution .	WRB DT NNP NNP NNS VBD NNP , PRP VBD RP DT NN VBG DT NN IN VBG DT NNS IN NN WDT VBD VBN VBN IN DT NNP .	B-ADVP B-NP I-NP I-NP I-NP B-VP B-NP O B-NP B-VP B-ADVP B-NP I-NP B-VP B-NP I-NP B-PP B-VP B-NP I-NP I-NP I-NP B-NP B-VP I-VP I-VP B-PP B-NP I-NP O	the seventh coalition armies	enter	paris
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8742	he	drew up	the declaration	8	9	9	11	11	13	0.011617397844507583	When the Seventh Coalition armies entered Paris , he drew up the declaration asserting the necessity of maintaining the principles of government that had been established at the Revolution .	WRB DT NNP NNP NNS VBD NNP , PRP VBD RP DT NN VBG DT NN IN VBG DT NNS IN NN WDT VBD VBN VBN IN DT NNP .	B-ADVP B-NP I-NP I-NP I-NP B-VP B-NP O B-NP B-VP B-ADVP B-NP I-NP B-VP B-NP I-NP B-PP B-VP B-NP I-NP I-NP I-NP B-NP B-VP I-VP I-VP B-PP B-NP I-NP O	he	draw up	the declaration
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Charles Dupont de l'Eure.txt	8742	the principles of government	had been established at	the Revolution	18	22	23	27	27	29	0.24244890497015442	When the Seventh Coalition armies entered Paris , he drew up the declaration asserting the necessity of maintaining the principles of government that had been established at the Revolution .	WRB DT NNP NNP NNS VBD NNP , PRP VBD RP DT NN VBG DT NN IN VBG DT NNS IN NN WDT VBD VBN VBN IN DT NNP .	B-ADVP B-NP I-NP I-NP I-NP B-VP B-NP O B-NP B-VP B-ADVP B-NP I-NP B-VP B-NP I-NP B-PP B-VP B-NP I-NP I-NP I-NP B-NP B-VP I-VP I-VP B-PP B-NP I-NP O	the principles of government	establish at	the revolution
