/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6190	Jacques Lusseyran	was	a blind French author	0	2	2	3	3	7	0.874111709033325	Jacques Lusseyran was a blind French author and political activist .	NNP NNP VBD DT JJ JJ NN CC JJ NN .	B-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-NP I-NP O	jacques lusseyran	be	a blind french author
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6191	Lusseyran	was born on	September 19th , 1924	0	1	1	4	4	8	0.9999812959806246	Lusseyran was born on September 19th , 1924 , in Paris , France .	NNP VBD VBN IN NNP JJ , CD , IN NNP , NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP O B-PP B-NP O B-NP O	lusseyran	bear on	september 19th , #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6192	He	became totally blind in	a school accident	0	1	1	5	5	8	0.46896384481237974	He became totally blind in a school accident at the age of 8.	PRP VBD RB JJ IN DT NN NN IN DT NN IN CD	B-NP B-VP B-ADJP I-ADJP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP	he	become blind in	a school accident
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6193	blind and	maintained	many close friendships	7	9	9	10	10	13	0.08454758761869621	He soon learned to adapt to being blind and maintained many close friendships , particularly with one boy named Jean .	PRP RB VBD TO VB TO VBG JJ CC VBD JJ JJ NNS , RB IN CD NN VBD NNP .	B-NP B-ADVP B-VP I-VP I-VP B-PP B-VP B-NP I-NP B-VP B-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP B-VP B-NP O	blind and	maintain	many close friendships
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6193	one boy	named	Jean	16	18	18	19	19	20	0.6687976579533462	He soon learned to adapt to being blind and maintained many close friendships , particularly with one boy named Jean .	PRP RB VBD TO VB TO VBG JJ CC VBD JJ JJ NNS , RB IN CD NN VBD NNP .	B-NP B-ADVP B-VP I-VP I-VP B-PP B-VP B-NP I-NP B-VP B-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP B-VP B-NP O	# boy	name	jean
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6194	he	became alarmed at	the rise of Adolf Hitler	4	5	5	8	8	13	0.384454879414836	At a young age he became alarmed at the rise of Adolf Hitler in Germany and decided to learn the German language so that he could listen to German radio broadcasts .	IN DT JJ NN PRP VBD VBN IN DT NN IN NNP NNP IN NNP CC VBD TO VB DT NNP NN RB IN PRP MD VB TO NNP NN NNS .	B-PP B-NP I-NP I-NP B-NP B-VP B-ADJP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-VP I-VP I-VP B-NP I-NP I-NP B-ADVP B-SBAR B-NP B-VP I-VP B-PP B-NP I-NP I-NP O	he	become alarm at	the rise of adolf hitler
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6194	the rise of Adolf Hitler	decided to learn	the German language	8	13	16	19	19	22	0.6745454994928272	At a young age he became alarmed at the rise of Adolf Hitler in Germany and decided to learn the German language so that he could listen to German radio broadcasts .	IN DT JJ NN PRP VBD VBN IN DT NN IN NNP NNP IN NNP CC VBD TO VB DT NNP NN RB IN PRP MD VB TO NNP NN NNS .	B-PP B-NP I-NP I-NP B-NP B-VP B-ADJP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-VP I-VP I-VP B-NP I-NP I-NP B-ADVP B-SBAR B-NP B-VP I-VP B-PP B-NP I-NP I-NP O	the rise of adolf hitler	decide to learn	the german language
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6194	he	could listen to	German radio broadcasts	24	25	25	28	28	31	0.10662221500564642	At a young age he became alarmed at the rise of Adolf Hitler in Germany and decided to learn the German language so that he could listen to German radio broadcasts .	IN DT JJ NN PRP VBD VBN IN DT NN IN NNP NNP IN NNP CC VBD TO VB DT NNP NN RB IN PRP MD VB TO NNP NN NNS .	B-PP B-NP I-NP I-NP B-NP B-VP B-ADJP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-VP I-VP I-VP B-NP I-NP I-NP B-ADVP B-SBAR B-NP B-VP I-VP B-PP B-NP I-NP I-NP O	he	listen to	german radio broadcasts
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6195	he	had accomplished	this task	9	10	10	12	12	14	0.3042543162719826	By 1938 , when Nazi Germany annexed Austria , he had accomplished this task .	IN CD , WRB NNP NNP CC NNP , PRP VBD VBN DT NN .	B-PP B-NP O B-ADVP B-NP I-NP O B-NP O B-NP B-VP I-VP B-NP I-NP O	he	accomplish	this task
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6196	Germany	invaded France in	1940	0	1	1	4	4	5	0.9999999999553593	Germany invaded France in 1940 .	NNP VBD NNP IN CD .	B-NP B-VP B-NP B-PP B-NP O	germany	invade france in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Lusseyran.txt	6197	Lusseyran	formed	a Resistance group	12	13	13	14	14	17	0.20024308015054368	In the spring of 1941 , at the age of 17 , Lusseyran formed a Resistance group called the Volunteers of Liberty with 52 other boys .	IN DT NN IN CD , IN DT NN IN CD , NNP VBD DT NN NN VBD DT NNS IN NNP IN CD JJ NNS .	B-PP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	lusseyran	form	a resistance group
