/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5229	QC	was	a Canadian politician	7	8	8	9	9	12	0.7893598964113117	Jacques Flynn , PC , OC , QC was a Canadian politician and Senator .	NNP NNP , NN , NNP , NNP VBD DT JJ NN CC NNP .	B-NP I-NP O B-NP O B-NP O B-NP B-VP B-NP I-NP I-NP O B-NP O	qc	be	a canadian politician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5230	he	graduated in	law	17	18	18	20	20	21	0.13853588798974797	Born in Saint-Hyacinthe , Quebec , the grandson of the Premier of Quebec Edmund James Flynn , he graduated in law from Universit√ © Laval in and was called to the Quebec Bar both in 1939 .	VBN IN NNP , NNP , DT NN IN DT NNP IN NNP NNP NNP NNP , PRP VBD IN NN IN NNP NNP NNP IN CC VBD VBN TO DT NNP NNP CC IN CD .	B-VP B-PP B-NP O B-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-PP B-NP I-NP I-NP B-PP O B-VP I-VP B-PP B-NP I-NP I-NP O B-PP B-NP O	he	graduate in	law
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5230	Universit√ © Laval	was called to	the Quebec Bar	22	25	27	30	30	33	0.9920557006866335	Born in Saint-Hyacinthe , Quebec , the grandson of the Premier of Quebec Edmund James Flynn , he graduated in law from Universit√ © Laval in and was called to the Quebec Bar both in 1939 .	VBN IN NNP , NNP , DT NN IN DT NNP IN NNP NNP NNP NNP , PRP VBD IN NN IN NNP NNP NNP IN CC VBD VBN TO DT NNP NNP CC IN CD .	B-VP B-PP B-NP O B-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP B-PP B-NP I-NP I-NP B-PP O B-VP I-VP B-PP B-NP I-NP I-NP O B-PP B-NP O	universit√ © laval	call to	the quebec bar
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5231	Flynn	ran unsuccessfully for	a seat	4	5	5	8	8	10	0.931953758796033	A Progressive Conservative , Flynn ran unsuccessfully for a seat in the Canadian House of Commons in the 1957 election .	DT JJ NNP , NNP VBD RB IN DT NN IN DT NNP NNP IN NNPS IN DT CD NN .	B-NP I-NP I-NP O B-NP B-VP B-ADVP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	flynn	run for	a seat
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5232	He	won	the riding of Quebec South	0	1	1	2	2	7	0.6021350111765814	He won the riding of Quebec South in the 1958 election when John George Diefenbaker led the PC Party to a landslide victory .	PRP VBD DT NN IN NNP NNP IN DT CD NN WRB NNP NNP NNP VBD DT NN NNP TO DT NN NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADVP B-NP I-NP I-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	win	the riding of quebec south
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5232	John George Diefenbaker	led	the PC Party	12	15	15	16	16	19	0.4479666403218112	He won the riding of Quebec South in the 1958 election when John George Diefenbaker led the PC Party to a landslide victory .	PRP VBD DT NN IN NNP NNP IN DT CD NN WRB NNP NNP NNP VBD DT NN NNP TO DT NN NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-ADVP B-NP I-NP I-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	john george diefenbaker	lead	the pc party
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5233	Flynn	became	Deputy Speaker of the Canadian House of Commons	0	1	1	2	2	10	0.9469705806066386	Flynn became Deputy Speaker of the Canadian House of Commons in 1960 .	NNP VBD NNP NNP IN DT NNP NNP IN NNPS IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O	flynn	become	deputy speaker of the canadian house of commons
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5234	Prime Minister Diefenbaker	brought	Flynn	4	7	7	8	8	9	0.8601816506230737	In December 1961 , Prime Minister Diefenbaker brought Flynn into the Canadian Cabinet as Minister of Mines and Technical Surveys , a position he held until losing his seat in the 1962 election that reduced the Conservatives to a minority government .	IN NNP CD , NNP NNP NNP VBD NNP IN DT JJ NNP IN NNP IN NNP CC NNP NNP , DT NN PRP VBD IN VBG PRP$ NN IN DT CD NN WDT VBD DT NNS TO DT NN NN .	B-PP B-NP I-NP O B-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP B-NP B-VP B-PP B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP O	prime minister diefenbaker	bring	flynn
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5234	the 1962 election	reduced	the Conservatives	30	33	34	35	35	37	0.010659250981023837	In December 1961 , Prime Minister Diefenbaker brought Flynn into the Canadian Cabinet as Minister of Mines and Technical Surveys , a position he held until losing his seat in the 1962 election that reduced the Conservatives to a minority government .	IN NNP CD , NNP NNP NNP VBD NNP IN DT JJ NNP IN NNP IN NNP CC NNP NNP , DT NN PRP VBD IN VBG PRP$ NN IN DT CD NN WDT VBD DT NNS TO DT NN NN .	B-PP B-NP I-NP O B-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP B-NP B-VP B-PP B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP O	the # election	reduce	the conservatives
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5235	he	was appointed to	the Senate	4	5	5	8	8	10	0.8448340607448467	Later that year , he was appointed to the Senate .	RB DT NN , PRP VBD VBN TO DT NNP .	B-ADVP B-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP O	he	appoint to	the senate
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Flynn.txt	5236	Flynn	served as	Leader of the Opposition	0	1	1	3	3	7	0.9259712291517693	Flynn served as Leader of the Opposition in the Senate from 1967 until the 1979 election that brought the Tories back to power .	NNP VBD IN NNP IN DT NN IN DT NNP IN CD IN DT CD NN WDT VBD DT NNPS RB TO NN .	B-NP B-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP B-NP B-VP B-NP I-NP B-ADVP B-PP B-NP O	flynn	serve as	leader of the opposition
